TransactionID,Date,Region,Product,Category,UnitsSold,UnitPrice,TotalRevenue,CustomerType,PaymentMethod
1001,2024-01-01,North,Laptop,Electronics,2,800,1600,Member,Credit Card
1002,2024-01-02,South,Mouse,Accessories,10,25,250,Normal,Cash
1003,2024-01-02,East,Keyboard,Accessories,5,45,225,Member,PayPal
1004,2024-01-03,West,Monitor,Electronics,3,200,600,Member,Credit Card
1005,2024-01-04,North,Headphones,Accessories,8,50,400,Normal,Credit Card
1006,2024-01-05,South,Laptop,Electronics,1,850,850,Member,PayPal
1007,2024-01-05,East,Mouse,Accessories,15,22,330,Normal,Cash
1008,2024-01-06,West,Smartphone,Electronics,4,600,2400,Member,Credit Card
1009,2024-01-07,North,Tablet,Electronics,3,300,900,Normal,PayPal
1010,2024-01-08,South,Keyboard,Accessories,6,40,240,Member,Cash
1011,2024-01-09,East,Monitor,Electronics,2,210,420,Normal,Credit Card
1012,2024-01-10,West,Headphones,Accessories,9,48,432,Member,PayPal
1013,2024-01-11,North,Smartphone,Electronics,2,650,1300,Normal,Credit Card
1014,2024-01-12,South,Tablet,Electronics,4,290,1160,Member,Cash
1015,2024-01-13,East,Laptop,Electronics,1,780,780,Normal,PayPal
1016,2024-01-14,West,Mouse,Accessories,12,25,300,Member,Credit Card
1017,2024-01-15,North,Keyboard,Accessories,7,42,294,Normal,Cash
1018,2024-01-16,South,Monitor,Electronics,2,190,380,Member,Credit Card
1019,2024-01-17,East,Headphones,Accessories,5,55,275,Normal,PayPal
1020,2024-01-18,West,Smartphone,Electronics,3,620,1860,Member,Credit Card
1021,2024-01-19,North,Tablet,Electronics,2,310,620,Normal,PayPal
1022,2024-01-20,South,Laptop,Electronics,1,820,820,Member,Cash
1023,2024-01-21,East,Mouse,Accessories,8,26,208,Normal,Credit Card
1024,2024-01-22,West,Keyboard,Accessories,4,48,192,Member,PayPal
1025,2024-01-23,North,Monitor,Electronics,3,205,615,Normal,Cash
1026,2024-01-24,South,Headphones,Accessories,6,52,312,Member,Credit Card
1027,2024-01-25,East,Smartphone,Electronics,2,610,1220,Normal,PayPal
1028,2024-01-26,West,Tablet,Electronics,5,295,1475,Member,Credit Card
1029,2024-01-27,North,Laptop,Electronics,2,790,1580,Normal,Cash
1030,2024-01-28,South,Mouse,Accessories,11,24,264,Member,PayPal
